<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	01:00:00	2328.59	2329.19	2324.18	2325.13	1005	0	10
2024.06.03	01:15:00	2325.14	2326.63	2323.32	2323.37	546	0	10
2024.06.03	01:30:00	2323.38	2326.67	2323.38	2326.40	646	0	10
2024.06.03	01:45:00	2326.26	2326.82	2325.16	2326.41	510	0	10
2024.06.03	02:00:00	2326.42	2326.81	2325.43	2326.04	441	0	10
2024.06.03	02:15:00	2326.04	2326.32	2325.05	2325.49	452	0	10
2024.06.03	02:30:00	2325.48	2325.79	2324.00	2325.10	647	0	10
2024.06.03	02:45:00	2325.09	2326.24	2325.07	2325.91	455	0	10
2024.06.03	03:00:00	2325.92	2326.31	2324.25	2325.46	954	0	10
2024.06.03	03:15:00	2325.47	2326.06	2325.07	2325.33	785	0	10
2024.06.03	03:30:00	2325.34	2325.64	2324.00	2325.64	879	0	10
2024.06.03	03:45:00	2325.65	2327.49	2325.48	2327.12	1104	0	10
2024.06.03	04:00:00	2327.11	2328.82	2326.13	2328.68	2113	0	10
2024.06.03	04:15:00	2328.65	2331.02	2328.32	2328.87	1703	0	10
2024.06.03	04:30:00	2328.86	2329.03	2327.31	2328.74	1517	0	10
2024.06.03	04:45:00	2328.75	2330.95	2328.75	2330.78	1745	0	10
2024.06.03	05:00:00	2330.77	2330.97	2328.92	2329.92	1538	0	10
2024.06.03	05:15:00	2329.93	2330.33	2328.58	2328.95	778	0	10
2024.06.03	05:30:00	2328.95	2329.65	2326.86	2327.50	1237	0	10
2024.06.03	05:45:00	2327.51	2327.59	2325.57	2326.33	1593	0	10
2024.06.03	06:00:00	2326.34	2328.16	2325.61	2327.21	1589	0	10
2024.06.03	06:15:00	2327.22	2327.23	2323.72	2323.90	1520	0	10
2024.06.03	06:30:00	2323.81	2324.70	2322.33	2322.99	1147	0	10
2024.06.03	06:45:00	2322.99	2323.30	2320.95	2321.38	1182	0	10
2024.06.03	07:00:00	2321.39	2322.54	2320.27	2321.97	1245	0	10
2024.06.03	07:15:00	2322.04	2322.34	2320.82	2321.29	701	0	10
2024.06.03	07:30:00	2321.29	2321.82	2320.32	2320.55	729	0	10
2024.06.03	07:45:00	2320.56	2321.74	2320.01	2321.36	896	0	10
2024.06.03	08:00:00	2321.36	2322.89	2320.77	2322.54	1262	0	10
2024.06.03	08:15:00	2322.55	2323.70	2322.16	2322.79	1113	0	10
