Date,Time,Open,High,Low,Close,TickVol,Vol,Spread
2025.01.02,01:00:00,2626.06,2626.12,2624.2,2624.68,685,0,13
2025.01.02,01:15:00,2624.72,2624.95,2623.57,2623.72,747,0,10
2025.01.02,01:30:00,2623.74,2624.0,2622.14,2622.14,359,0,10
2025.01.02,01:45:00,2621.88,2624.36,2621.71,2623.8,441,0,10
2025.01.02,02:00:00,2623.81,2626.23,2622.85,2625.8,782,0,10
2025.01.02,02:15:00,2625.81,2626.52,2625.27,2626.43,914,0,10
2025.01.02,02:30:00,2626.42,2627.6,2625.5,2626.87,876,0,10
2025.01.02,02:45:00,2626.89,2627.96,2625.31,2625.34,1221,0,10
2025.01.02,03:00:00,2625.37,2630.91,2623.84,2629.62,2276,0,10
2025.01.02,03:15:00,2629.61,2633.04,2629.35,2632.61,1681,0,10
2025.01.02,03:30:00,2632.6,2634.42,2632.34,2633.46,1232,0,10
2025.01.02,03:45:00,2633.42,2633.51,2631.64,2632.94,2134,0,10
2025.01.02,04:00:00,2632.95,2634.78,2632.63,2634.62,1674,0,10
2025.01.02,04:15:00,2634.61,2636.48,2633.94,2635.68,1095,0,10
2025.01.02,04:30:00,2635.68,2635.79,2632.66,2633.44,2102,0,10
2025.01.02,04:45:00,2633.43,2635.35,2632.33,2634.76,1588,0,10
2025.01.02,05:00:00,2634.72,2635.4,2633.07,2633.15,1790,0,10
2025.01.02,05:15:00,2633.14,2634.75,2633.01,2633.42,1734,0,10
2025.01.02,05:30:00,2633.38,2634.2,2632.38,2633.46,1312,0,10
2025.01.02,05:45:00,2633.44,2633.86,2632.72,2633.71,947,0,10
2025.01.02,06:00:00,2633.67,2633.74,2632.16,2632.43,780,0,10
2025.01.02,06:15:00,2632.41,2633.22,2632.18,2632.51,646,0,10
2025.01.02,06:30:00,2632.5,2632.93,2632.12,2632.21,609,0,10
2025.01.02,06:45:00,2632.21,2634.24,2631.15,2634.0,1187,0,10
2025.01.02,07:00:00,2634.01,2634.39,2633.14,2633.42,789,0,10
2025.01.02,07:15:00,2633.43,2635.38,2633.42,2634.93,1051,0,10
2025.01.02,07:30:00,2634.73,2636.54,2634.6,2634.95,1804,0,10
2025.01.02,07:45:00,2634.98,2635.39,2634.04,2634.06,1697,0,10
2025.01.02,08:00:00,2634.06,2634.06,2631.48,2631.77,1693,0,10
2025.01.02,08:15:00,2631.75,2634.48,2631.2,2634.2,1328,0,10
2025.01.02,08:30:00,2634.22,2634.72,2633.45,2634.14,1331,0,10
2025.01.02,08:45:00,2634.16,2635.46,2633.63,2634.21,1543,0,10
2025.01.02,09:00:00,2634.18,2635.03,2633.49,2634.42,1231,0,10
2025.01.02,09:15:00,2634.39,2635.96,2633.58,2634.38,1295,0,11
2025.01.02,09:30:00,2634.37,2634.4,2633.02,2633.7,1241,0,11
2025.01.02,09:45:00,2633.67,2636.02,2633.02,2635.97,1208,0,10
2025.01.02,10:00:00,2636.0,2637.14,2633.99,2635.17,1646,0,13
2025.01.02,10:15:00,2635.17,2635.19,2631.42,2633.33,1528,0,10
2025.01.02,10:30:00,2633.33,2636.97,2631.22,2636.31,1020,0,10
2025.01.02,10:45:00,2636.3,2637.84,2635.4,2636.4,1151,0,10
2025.01.02,11:00:00,2636.38,2639.92,2636.38,2638.26,1601,0,10
2025.01.02,11:15:00,2638.26,2639.96,2637.28,2637.41,1217,0,10
2025.01.02,11:30:00,2637.42,2638.39,2636.67,2637.15,1070,0,10
2025.01.02,11:45:00,2637.15,2637.88,2635.93,2636.09,1160,0,10
2025.01.02,12:00:00,2636.1,2639.01,2632.72,2639.0,1726,0,10
2025.01.02,12:15:00,2638.98,2646.29,2638.15,2644.84,2149,0,10
