feature,final_score
high__mean_change,0.7939083
high__time_reversal_asymmetry_statistic__lag_1,0.78679585
high__time_reversal_asymmetry_statistic__lag_2,0.552665
high__last_location_of_maximum,0.32186097
high__mean_second_derivative_central,0.3208533
high__autocorrelation__lag_7,0.31107712
high__first_location_of_minimum,0.3101899
high__time_reversal_asymmetry_statistic__lag_3,0.30739892
high__last_location_of_minimum,0.30183867
high__autocorrelation__lag_5,0.27907425
high__autocorrelation__lag_1,0.27139062
high__maximum,0.26864007
high__cid_ce__normalize_False,0.26621193
high__kurtosis,0.2506916
high__cid_ce__normalize_True,0.24894455
high__skewness,0.2439006
high__standard_deviation,0.23630783
high__sum_values,0.23201172
high__variation_coefficient,0.23052247
high__first_location_of_maximum,0.22776806
high__mean_abs_change,0.22511372
high__longest_strike_below_mean,0.2249299
high__c3__lag_2,0.21938924
high__quantile__q_0.1,0.20907524
high__quantile__q_0.9,0.20555742
high__absolute_sum_of_changes,0.19986546
high__quantile__q_0.8,0.19746843
high__autocorrelation__lag_6,0.19361332
high__quantile__q_0.2,0.19266708
high__sum_of_reoccurring_values,0.18961234
high__variance,0.18616286
high__autocorrelation__lag_8,0.18365116
high__autocorrelation__lag_2,0.18230312
high__quantile__q_0.3,0.18111975
high__autocorrelation__lag_4,0.18060647
high__count_above_mean,0.17904907
high__longest_strike_above_mean,0.17874715
high__median,0.17749178
high__minimum,0.17668901
high__autocorrelation__lag_3,0.1756194
high__percentage_of_reoccurring_values_to_all_values,0.17194796
high__has_duplicate,0.17174064
high__percentage_of_reoccurring_datapoints_to_all_datapoints,0.17040452
high__large_standard_deviation__r_0.25,0.17014924
high__abs_energy,0.16994488
high__c3__lag_1,0.16858289
high__c3__lag_3,0.16503371
high__symmetry_looking__r_0.05,0.16094962
high__quantile__q_0.6,0.1602734
high__ratio_value_number_to_time_series_length,0.15982716
high__absolute_maximum,0.15458731
high__mean,0.15408246
high__quantile__q_0.4,0.15228955
high__sum_of_reoccurring_data_points,0.151295
high__quantile__q_0.7,0.14997259
high__count_below_mean,0.14021666
high__symmetry_looking__r_0.2,0.13552488
high__symmetry_looking__r_0.25,0.13552488
high__autocorrelation__lag_0,0.1343484
high__root_mean_square,0.13329716
high__large_standard_deviation__r_0.4,0.13317195
high__large_standard_deviation__r_0.2,0.13199547
high__large_standard_deviation__r_0.35000000000000003,0.13151589
high__symmetry_looking__r_0.15000000000000002,0.13043012
high__variance_larger_than_standard_deviation,0.12964253
high__has_duplicate_max,0.12964253
high__has_duplicate_min,0.12863009
high__large_standard_deviation__r_0.30000000000000004,0.12653977
high__symmetry_looking__r_0.1,0.10981613
